n_500_d_30_tr_20_a_144x144_idx_5_p_mprt2,Mpr_t2,500,30,99.866,0.0095538257,-0.1282074429,3.8766546268,103.44
n_500_d_20_tr_20_a_177x177_idx_3_p_mprt2,Mpr_t2,500,20,99.884,0.0121075586,-0.1280287536,3.5673909781,136.48
n_500_d_25_tr_20_a_158x158_idx_4_p_mprt2,Mpr_t2,500,25,99.882,0.0109795773,-0.1279841225,3.6365985413,115.91
n_500_d_35_tr_20_a_133x133_idx_6_p_mprt2,Mpr_t2,500,35,99.868,0.0089275251,-0.1283501051,3.8634224977,88.05
n_500_d_40_tr_20_a_125x125_idx_7_p_mprt2,Mpr_t2,500,40,99.684,0.0083342973,-0.1283586926,3.7789021324,75.65
n_500_d_30_tr_20_a_144x144_idx_5_p_abba2,Abba2,500,30,100,1.9742199876,-0.1326743553,8.62408,176.44
n_500_d_35_tr_20_a_133x133_idx_6_p_abba2,Abba2,500,35,100,1.7960035854,-0.1328606924,9.00356,154.45
n_500_d_40_tr_20_a_125x125_idx_7_p_abba2,Abba2,500,40,100,1.5907965845,-0.1329575002,9.1585,141.07
n_500_d_25_tr_20_a_158x158_idx_4_p_abba2,Abba2,500,25,100,2.2461372817,-0.1324748675,8.19116,197.67
n_500_d_10_tr_20_a_250x250_idx_1_p_mprt2,Mpr_t2,500,10,99.844,0.020050934,-0.1285155093,2.970817072,207.39
n_500_d_5_tr_20_a_354x354_idx_0_p_mprt2,Mpr_t2,500,5,97.532,0.0405889615,-0.128866457,2.2741119805,253.29
n_500_d_20_tr_20_a_177x177_idx_3_p_abba2,Abba2,500,20,100,2.5362414098,-0.1328717357,7.72554,230.69
n_500_d_15_tr_20_a_204x204_idx_2_p_mprt2,Mpr_t2,500,15,99.932,0.0140728473,-0.128344278,3.493895747,172.1
n_500_d_15_tr_20_a_204x204_idx_2_p_abba2,Abba2,500,15,100,3.0521824057,-0.1330203644,7.1384,279.52
n_500_d_5_tr_20_a_354x354_idx_0_p_abba2,Abba2,500,5,93.008,8.0454128344,-0.1346709018,4.2360900398,416.4
n_500_d_35_tr_20_a_133x133_idx_6_p_cds3,Cds_3,500,35,100,0.0092001751,-0.131495308,6.37762,221.62
n_500_d_40_tr_20_a_125x125_idx_7_p_cds3,Cds_3,500,40,99.998,0.0087854261,-0.1315001977,6.5756671343,206.53
n_500_d_10_tr_20_a_250x250_idx_1_p_abba2,Abba2,500,10,99.91,4.3068809619,-0.1339616635,6.0191834847,351.99
n_500_d_25_tr_20_a_158x158_idx_4_p_cds3,Cds_3,500,25,100,0.0110344461,-0.1313151292,5.79524,261.62
n_500_d_5_tr_20_a_354x354_idx_0_p_cds3,Cds_3,500,5,99.2,0.041672565,-0.130777803,2.660090774,344.96
n_500_d_30_tr_20_a_144x144_idx_5_p_cds3,Cds_3,500,30,100,0.0097202102,-0.1317730726,6.28464,258.68
n_500_d_15_tr_20_a_204x204_idx_2_p_cds3,Cds_3,500,15,99.984,0.0147656644,-0.1316741959,4.9917927483,324.25
n_500_d_20_tr_20_a_177x177_idx_3_p_cds3,Cds_3,500,20,99.996,0.0131800488,-0.1314432307,5.4434644177,289.27
n_500_d_10_tr_20_a_250x250_idx_1_p_cds3,Cds_3,500,10,99.98,0.0208755926,-0.1313407697,3.8854154694,339.9
n_500_d_5_tr_20_a_354x354_idx_0_p_probflood,ProbFlooding,500,5,99.3,0.0414363505,-0.1338952594,3.115169473,496.5
n_500_d_5_tr_20_a_354x354_idx_0_p_flooding,Flooding2,500,5,99.93,0.0411219376,-0.1355893921,4.0967578023,499.65
n_500_d_10_tr_20_a_250x250_idx_1_p_probflood,ProbFlooding,500,10,99.988,0.0194899552,-0.134703054,4.7188585425,492
n_500_d_10_tr_20_a_250x250_idx_1_p_flooding,Flooding2,500,10,100,0.018994636,-0.1364596282,5.76246,500
n_500_d_35_tr_20_a_133x133_idx_6_p_probflood,ProbFlooding,500,35,100,0.0102780301,-0.137819806,10.90236,470
n_500_d_40_tr_20_a_125x125_idx_7_p_probflood,ProbFlooding,500,40,100,0.0105581716,-0.1382047433,11.61304,470
n_500_d_15_tr_20_a_204x204_idx_2_p_probflood,ProbFlooding,500,15,100,0.0135345366,-0.1354053909,6.1074,485
n_500_d_15_tr_20_a_204x204_idx_2_p_flooding,Flooding2,500,15,100,0.0136423771,-0.1372724579,7.13112,500
n_500_d_30_tr_20_a_144x144_idx_5_p_probflood,ProbFlooding,500,30,100,0.0101250048,-0.1371398368,9.41412,472
n_500_d_20_tr_20_a_177x177_idx_3_p_probflood,ProbFlooding,500,20,100,0.011468333,-0.1359392597,6.93188,480
n_500_d_20_tr_20_a_177x177_idx_3_p_flooding,Flooding2,500,20,100,0.0112807306,-0.1379050912,7.8874,500
n_500_d_25_tr_20_a_158x158_idx_4_p_probflood,ProbFlooding,500,25,100,0.010379714,-0.1364872545,8.0536,475
n_500_d_25_tr_20_a_158x158_idx_4_p_flooding,Flooding2,500,25,100,0.0099218756,-0.1384829321,8.59908,500
n_500_d_30_tr_20_a_144x144_idx_5_p_flooding,Flooding2,500,30,100,0.0084920307,-0.1391218867,9.20956,500
n_500_d_35_tr_20_a_133x133_idx_6_p_flooding,Flooding2,500,35,100,0.0076919984,-0.1397917245,9.86016,500
n_500_d_40_tr_20_a_125x125_idx_7_p_flooding,Flooding2,500,40,100,0.0072324412,-0.1401948849,10.27118,500
