
n_180_d_sparse_tr_120_a_1080x1200_idx_12_p_mprt2,mprt2,180,sparse,,,, 
n_250_d_dense_tr_120_a_600x600_idx_13_p_abba2,abba2,250,dense,,,, 
n_250_d_dense_tr_120_a_600x600_idx_13_p_cds,cds,250,dense,,,, 
n_250_d_dense_tr_120_a_600x600_idx_13_p_dist2mean2,dist2mean2,250,dense,,,, 
n_250_d_dense_tr_120_a_600x600_idx_13_p_ewma2,ewma2,250,dense,,,, 
n_250_d_dense_tr_120_a_600x600_idx_13_p_flooding,flooding,250,dense,,,, 
n_250_d_dense_tr_120_a_600x600_idx_13_p_mprt2,mprt2,250,dense,,,, 
n_250_d_medium_tr_120_a_840x960_idx_13_p_abba2,abba2,250,medium,,,, 
n_250_d_medium_tr_120_a_840x960_idx_13_p_cds,cds,250,medium,,,, 
n_250_d_medium_tr_120_a_840x960_idx_13_p_dist2mean2,dist2mean2,250,medium,,,, 
n_250_d_medium_tr_120_a_840x960_idx_13_p_ewma2,ewma2,250,medium,,,, 
n_250_d_medium_tr_120_a_840x960_idx_13_p_flooding,flooding,250,medium,,,, 
n_250_d_medium_tr_120_a_840x960_idx_13_p_mprt2,mprt2,250,medium,,,, 
n_250_d_sparse_tr_120_a_1320x1440_idx_13_p_abba2,abba2,250,sparse,,,, 
n_250_d_sparse_tr_120_a_1320x1440_idx_13_p_cds,cds,250,sparse,,,, 
n_250_d_sparse_tr_120_a_1320x1440_idx_13_p_dist2mean2,dist2mean2,250,sparse,,,, 
n_250_d_sparse_tr_120_a_1320x1440_idx_13_p_ewma2,ewma2,250,sparse,,,, 
n_250_d_sparse_tr_120_a_1320x1440_idx_13_p_flooding,flooding,250,sparse,,,, 
n_250_d_sparse_tr_120_a_1320x1440_idx_13_p_mprt2,mprt2,250,sparse,,,, 
n_360_d_dense_tr_120_a_720x720_idx_14_p_abba2,abba2,360,dense,,,, 
n_360_d_dense_tr_120_a_720x720_idx_14_p_cds,cds,360,dense,,,, 
n_360_d_dense_tr_120_a_720x720_idx_14_p_dist2mean2,dist2mean2,360,dense,,,, 
n_360_d_dense_tr_120_a_720x720_idx_14_p_ewma2,ewma2,360,dense,,,, 
