n_500_d_5_tr_20_a_354x354_idx_0_p_cds3,Cds_3,500,5,8.04,-Inf,-0.1239216027,NaN,40.2,,40.2,,320.5223880597,,320.52
n_500_d_5_tr_20_a_354x354_idx_0_p_mprt2,Mpr_t2,500,5,26.742,0.0197155621,-0.1253045244,2.3408697688,133.71,,133.71,,321.5223880597,,380
n_500_d_10_tr_20_a_250x250_idx_1_p_cds3,Cds_3,500,10,72.938,0.0267529226,-0.1279446425,3.1255958029,184.11,,,,,,
n_500_d_5_tr_20_a_354x354_idx_0_p_abba2,Abba2,500,5,42.236,5.2853179031,-0.1294501113,3.8939773275,211.18,,211.18,,323.5223880597,,323.52
n_500_d_25_tr_20_a_158x158_idx_4_p_abba2,Abba2,500,25,99.996,2.1228780416,-0.1325194817,8.2158111824,197.17,,,,,,
n_500_d_30_tr_20_a_144x144_idx_5_p_abba2,Abba2,500,30,99.992,1.9343296135,-0.1325557456,8.5631717435,176.22,,,,,,
n_500_d_20_tr_20_a_177x177_idx_3_p_abba2,Abba2,500,20,99.944,2.6795438557,-0.1326234592,7.7432748244,231.36,,,,,,
n_500_d_35_tr_20_a_133x133_idx_6_p_abba2,Abba2,500,35,99.996,1.7746778158,-0.1327054441,8.8486127856,156.83,,,,,,
n_500_d_40_tr_20_a_125x125_idx_7_p_abba2,Abba2,500,40,100,1.6571744057,-0.1328732527,9.15832,141.57,,,,,,
n_500_d_5_tr_20_a_354x354_idx_0_p_probflood,ProbFlooding,500,5,49.89,-Inf,-0.1286370966,NaN,249.45,,249.45,,329.5223880597,,490
n_500_d_15_tr_20_a_204x204_idx_2_p_abba2,Abba2,500,15,99.994,2.9893397015,-0.1329620737,7.1402370221,278.16,,,,,,
n_500_d_10_tr_20_a_250x250_idx_1_p_abba2,Abba2,500,10,99.694,4.3833055652,-0.1340410258,6.0556138643,349.63,,,,,,
n_500_d_20_tr_20_a_177x177_idx_3_p_cds3,Cds_3,500,20,98.658,0.0152136879,-0.1294024137,4.4541714613,197.59,,,,,,
n_500_d_5_tr_20_a_354x354_idx_0_p_flooding,Flooding2,500,5,50.184,0.0289512538,-0.1302888258,3.8660269204,250.92,,250.92,,333.5223880597,,420
n_500_d_15_tr_20_a_204x204_idx_2_p_cds3,Cds_3,500,15,98.462,0.0171373845,-0.1295786944,4.1030278966,228.64,,,,,,
n_500_d_25_tr_20_a_158x158_idx_4_p_cds3,Cds_3,500,25,97.578,0.0128781967,-0.1294430267,4.7437893569,176.67,,,,,,
n_500_d_30_tr_20_a_144x144_idx_5_p_cds3,Cds_3,500,30,99.492,0.0114646181,-0.1298705801,5.2253311614,177.81,,,,,,
n_500_d_35_tr_20_a_133x133_idx_6_p_cds3,Cds_3,500,35,99.742,0.0103103636,-0.1301896637,5.5625946491,171.77,,,,,,
n_500_d_40_tr_20_a_125x125_idx_7_p_cds3,Cds_3,500,40,99.748,0.0095342284,-0.1303740897,5.8337066021,161.38,,,,,,
n_500_d_10_tr_20_a_250x250_idx_1_p_probflood,ProbFlooding,500,10,99.922,0.0197349631,-0.1347070502,4.7587968883,496,,,,,,
n_500_d_10_tr_20_a_250x250_idx_1_p_flooding,Flooding2,500,10,99.922,0.0196459078,-0.13645991,5.7908845924,499.61,,,,,,
n_500_d_40_tr_20_a_125x125_idx_7_p_probflood,ProbFlooding,500,40,100,0.0095325452,-0.1381149296,11.60838,473,,,,,,
n_500_d_15_tr_20_a_204x204_idx_2_p_flooding,Flooding2,500,15,100,0.0132326585,-0.1372675428,7.08586,500,,,,,,
n_500_d_35_tr_20_a_133x133_idx_6_p_probflood,ProbFlooding,500,35,100,0.0095248211,-0.137601158,10.46766,481,,,,,,
n_500_d_15_tr_20_a_204x204_idx_2_p_probflood,ProbFlooding,500,15,99.994,0.0132642353,-0.1354027031,6.0836342455,490,,,,,,
n_500_d_20_tr_20_a_177x177_idx_3_p_flooding,Flooding2,500,20,99.988,0.0118394756,-0.1379189135,7.9756850602,499.94,,,,,,
n_500_d_25_tr_20_a_158x158_idx_4_p_probflood,ProbFlooding,500,25,100,0.0099496887,-0.1365294262,8.05606,483,,,,,,
n_500_d_20_tr_20_a_177x177_idx_3_p_probflood,ProbFlooding,500,20,99.988,0.0116885919,-0.1359425671,6.9736187952,492,,,,,,
n_500_d_30_tr_20_a_144x144_idx_5_p_probflood,ProbFlooding,500,30,100,0.0097484448,-0.1370275359,9.1635,478,,,,,,
n_500_d_25_tr_20_a_158x158_idx_4_p_flooding,Flooding2,500,25,100,0.0094479241,-0.138548838,8.649,500,,,,,,
n_500_d_10_tr_20_a_250x250_idx_1_p_mprt2,Mpr_t2,500,10,99.724,0.0217078076,-0.1319609102,4.0485088811,369.39,,,,,,
n_500_d_30_tr_20_a_144x144_idx_5_p_flooding,Flooding2,500,30,100,0.0083518696,-0.1390209466,9.12394,500,,,,,,
n_500_d_35_tr_20_a_133x133_idx_6_p_flooding,Flooding2,500,35,100,0.0079322371,-0.1395851613,9.6095,500,,,,,,
n_500_d_40_tr_20_a_125x125_idx_7_p_flooding,Flooding2,500,40,100,0.0071620463,-0.1400960465,10.20486,500,,,,,,
n_500_d_15_tr_20_a_204x204_idx_2_p_mprt2,Mpr_t2,500,15,99.948,0.014152838,-0.133238872,5.4269170805,398.23,,,,,,
n_500_d_20_tr_20_a_177x177_idx_3_p_mprt2,Mpr_t2,500,20,99.942,0.0124683515,-0.1338839319,6.3053209318,403.39,,,,,,
n_500_d_25_tr_20_a_158x158_idx_4_p_mprt2,Mpr_t2,500,25,99.038,0.0101516,-0.1345340645,6.9651103598,409.86,,,,,,
n_500_d_30_tr_20_a_144x144_idx_5_p_mprt2,Mpr_t2,500,30,99.998,0.0090867464,-0.135122609,7.6527413627,417.9,,,,,,
n_500_d_35_tr_20_a_133x133_idx_6_p_mprt2,Mpr_t2,500,35,100,0.0086571303,-0.1355622289,8.21066,416.44,,,,,,
n_500_d_40_tr_20_a_125x125_idx_7_p_mprt2,Mpr_t2,500,40,100,0.0077378012,-0.1360258732,8.65882,419.35,,,,,,
