
n_200_d_15_tr_10_a_64x64_idx_2_p_abba2,abba2,200,15,100,0.537539136452704,-0.166668576268666,5.6625,92.4
n_200_d_10_tr_10_a_79x79_idx_1_p_abba2,abba2,200,10,98.75,0.793848968028204,-0.166789445520451,4.96030769230769,119.1
n_200_d_5_tr_10_a_112x112_idx_0_p_abba2,abba2,200,5,21,0.643630826132604,-0.166300016875505,4.36666666666667,36
n_200_d_10_tr_10_a_79x79_idx_1_p_flooding,flooding,200,10,100,0.00313638339870437,-0.167508275920638,2.8055,200
n_200_d_10_tr_10_a_79x79_idx_1_p_cds3,cds3,200,10,88.75,0.00336041438800336,-0.16886021606497,2.44135124135124,77.2
n_200_d_15_tr_10_a_64x64_idx_2_p_cds3,cds3,200,15,98.5,0.00224027370660345,-0.168953227657414,2.51979695431472,63
n_200_d_15_tr_10_a_64x64_idx_2_p_flooding,flooding,200,15,100,0.0018146496483034,-0.167532351920313,2.8635,200
n_200_d_5_tr_10_a_112x112_idx_0_p_flooding,flooding,200,5,21,0.00224026422120431,-0.166648740444817,2.38095238095238,42
n_200_d_5_tr_10_a_112x112_idx_0_p_cds3,cds3,200,5,8,0.00112011710450339,-0.168309214873054,2.125,6
n_200_d_10_tr_10_a_79x79_idx_1_p_mprt2,mprt2,200,10,72.65,0.382198494213504,-0.171731958316576,4.98767021165193,68.9
n_200_d_5_tr_10_a_112x112_idx_0_p_mprt2,mprt2,200,5,4,0.000224025960703145,-0.169634958367082,1.875,2
n_200_d_15_tr_10_a_64x64_idx_2_p_mprt2,mprt2,200,15,97.85,0.205968649492603,-0.172593043264845,6.90386339012713,94.4
